id,theta,E,ra,dec
170583157500,74.5081,51.9555,357.532,27.4408
181562964000,74.4811,51.9544,202.703,-4.63527
91214487100,16.14,51.8716,139.31,-42.4
172441661500,55.86,51.8502,251.36,-77.08
70091617400,53.96,51.8429,320.91,8.18
161086376500,67.5359,51.8325,323.069,-53.6696
92925140200,65.5029,51.7908,111.648,-70.375
143494717500,9.22,51.7777,27.76,-26.56
152086752300,70.3024,51.7494,47.4652,-5.54288
80330100200,63.7639,51.7229,153.154,-55.1037
122046821600,66.4265,51.6556,273.698,-2.55515
180964959500,26.79,51.6438,119.61,-43.63
170875273900,43.82,51.6192,122.79,-4.8
123550816700,39.96,51.584,256.88,-1.2
71158413200,36.04,51.497,272.32,-56.6
112460010400,43.42,51.4932,144.55,-28.68
171850525100,40.35,51.4265,49.38,-75.53
90210040000,14.85,51.3625,227.72,-21.34
140305144800,34.96,51.3166,116.6,-5.93
163575635600,14.8,51.2557,64.31,-46
40190108200,51.31,51.158,295.6,-30.95
140373000800,38.9,51.1282,357.62,1.21
143544447500,31.25,51.0625,64.63,-47.68
171764396500,49.96,51.0528,203.81,14.4
161977637200,21.18,51.0383,16.76,-17.27
180910448300,34.54,51.0269,280.06,-58.74
161207262400,7.68,51.0223,277.95,-41.53
112616063500,59.7,51.0221,94.76,-65.31
131496589300,52.68,50.9872,201.77,-50.49
133332878100,12.92,50.8657,308.38,-46.49
91037654500,43.55,50.8613,282.99,-78.48
83407962400,76.7211,50.839,320.2,-67.1283
113072853400,40.82,50.8159,313.58,-16.61
162651584300,54.04,50.7925,117.36,-21.79
172851689800,52.54,50.7871,228.79,-87.29
100802228200,40,50.7458,341.18,-67.33
172402837800,26.15,50.7171,185.1,-17.18
132298135200,44.64,50.692,52.11,9.11
101143642400,19.63,50.6854,94.87,-48.12
150298096100,66.3244,50.5367,160.782,4.57291
161468321600,15.75,50.5172,346.18,-19.66
91496246900,35.89,50.4653,216.05,-31.1
71234569300,38.71,50.4432,135.62,-5.76
173232260700,55.75,50.3503,317.37,-8.5
143200673300,19.91,50.2847,216.24,-28.37
102602395900,53.79,50.2809,126.8,-70.06
62255169300,70.828,50.2619,173.134,-60.3452
143477692801,63.3569,50.2172,46.9224,-68.5783
70717920900,21.25,50.1776,275.01,-28.07
111776182400,43.09,50.1517,243.38,-11.47
60634621300,65.9687,50.1387,28.8857,-24.6765
40631111000,64.1986,50.0971,336.869,26.6252
102877540000,22.2,50.0869,115.36,-42.78
161601150500,74.0888,50.0348,207.861,-68.552
151121842100,39.17,50.0293,347.63,-46.68
152625398300,40.28,50.0106,24.65,-36.76
92495693300,64.7325,49.9992,235.865,-58.1511
121486239900,54.32,49.9881,320.3,-26.14
70668351600,51.29,49.8941,297.32,5.47
81663054400,28.64,49.8686,111.24,-23.5
132305462300,67.0533,49.8222,75.7982,-72.2191
122944785501,71.0242,49.7093,28.3246,19.0552
112654124501,14.06,49.6951,269.56,-28.15
151800175100,75.7555,49.6262,343.182,22.1992
123280659900,5.6,49.6157,201.53,-40.88
101622524700,42.7,49.6072,60.64,-44.42
161078410200,19.48,49.6045,283.42,-33.28
81374301200,59.66,49.5837,108.73,-5.15
170132196200,79.2637,49.5667,217.742,-29.5046
92358255500,12.46,49.5383,77.9,-44.92
130465959800,66.5739,49.5043,76.857,-10.3577
111968481800,23.02,49.501,21.38,-55.27
92781143600,9.61,49.4477,183.53,-32.22
121684413500,16.89,49.4282,216.23,-47.46
152064390000,53.77,49.4122,222.67,16.72
173316285401,43.43,49.3913,33.32,-20.43
81985282800,61.7287,49.3836,189.041,-33.9966
143046576800,77.4344,49.3834,52.8714,41.3474
150843524000,14.42,49.3404,75.9,-21.61
171996824600,16.55,49.309,331.33,-18.82
131524711102,23.32,49.2918,226.37,-43.23
72370209800,36.26,49.2881,138.84,-49.75
141804466500,23.56,49.283,186.48,-32.29
162301982500,33.45,49.2433,178.89,-6.63
180370779400,64.3162,49.2183,168.988,-68.8781
181647389800,31.28,49.1868,341.42,-64.05
162335005400,4.12,49.1723,293.95,-35.52
80926513300,70.4544,49.1308,221.474,34.7683
160726593700,72.4907,49.1173,181.973,35.9125
73483494000,45.82,49.1115,340.65,10.68
82886285300,28.3,49.1054,23.83,-9.27
143326841300,64.052,49.0645,43.6892,-3.21488
60375136300,51.32,49.0587,29.25,-73.18
91847877300,34.92,49.0387,338.84,-67.73
101505433700,32.89,49.0083,233.93,-3.13
82481424901,49.03,49.0053,104.22,-14.66
81033343801,57.97,49.0053,12.45,-47.13
163265255900,59.46,48.9118,318.27,-31.92
121407997500,60.4415,48.9013,242.421,-42.3441
100204082800,76.3165,48.8004,32.7427,40.6796
180881109000,68.057,48.7883,283.759,3.17581
110663478000,37.7,48.7656,98.64,-17.89
130556599300,55.96,48.764,246.42,-26.14
82887121200,73.1257,48.7638,66.4488,37.7147
181871423400,77.267,48.7007,190.349,-30.2335
62601669400,36.38,48.6919,223.49,-43.48
182377764900,36.51,48.5876,2.17,-47.84
172550880500,61.4442,48.5486,204.996,-15.6116
73157613600,55.27,48.5246,67.84,-5.96
92054913400,27.32,48.5105,225.79,-30.85
80205515200,22.77,48.4654,88,-56.46
